0.5	-0.0103	-0.4547	-0.044	0.2866	-0.0071	0.0788	-0.0147	-0.5345	-0.0529	0.5475	-0.0203	0.2262
0.505	-0.0088	-0.419	-0.0408	0.2886	-0.0067	0.0729	-0.0124	-0.4918	-0.0488	0.5553	-0.0192	0.2095
0.51	-0.0073	-0.3798	-0.0374	0.2906	-0.0063	0.0664	-0.0102	-0.4451	-0.0444	0.5632	-0.0179	0.191
0.515	-0.0058	-0.3376	-0.0339	0.2925	-0.0058	0.0594	-0.0081	-0.395	-0.04	0.5708	-0.0165	0.1707
0.52	-0.0045	-0.293	-0.0303	0.2943	-0.0053	0.0518	-0.0062	-0.3421	-0.0355	0.578	-0.015	0.1488
0.525	-0.0033	-0.2463	-0.0267	0.296	-0.0047	0.0438	-0.0046	-0.287	-0.0311	0.5844	-0.0133	0.1257
0.53	-0.0023	-0.198	-0.023	0.2974	-0.0041	0.0354	-0.0031	-0.2301	-0.0266	0.5899	-0.0116	0.1014
0.535	-0.0015	-0.1488	-0.0194	0.2985	-0.0035	0.0268	-0.002	-0.1722	-0.0222	0.5943	-0.0099	0.0764
0.54	-0.0008	-0.099	-0.0157	0.2993	-0.0029	0.018	-0.001	-0.1137	-0.0179	0.5975	-0.0081	0.0509
0.545	-0.0003	-0.0491	-0.0121	0.2998	-0.0022	0.0092	-0.0004	-0.0552	-0.0137	0.5994	-0.0062	0.0253
0.55	0	0.0003	-0.0086	0.3	-0.0016	0.0004	0	0.0028	-0.0095	0.6	-0.0044	-0.0002
0.555	0.0001	0.0488	-0.0051	0.2999	-0.001	-0.0082	0.0002	0.0597	-0.0055	0.5994	-0.0026	-0.0252
0.56	0.0001	0.0959	-0.0017	0.2994	-0.0004	-0.0165	0.0001	0.115	-0.0015	0.5976	-0.0009	-0.0495
0.565	-0.0001	0.1412	0.0015	0.2987	0.0002	-0.0245	-0.0001	0.1683	0.0023	0.5948	0.0008	-0.0727
0.57	-0.0004	0.1842	0.0047	0.2978	0.0007	-0.0321	-0.0006	0.2189	0.0061	0.5912	0.0024	-0.0945
0.575	-0.0008	0.2246	0.0076	0.2968	0.0012	-0.0391	-0.0012	0.2665	0.0096	0.587	0.0039	-0.1149
0.58	-0.0013	0.2618	0.0104	0.2956	0.0017	-0.0455	-0.0019	0.3106	0.013	0.5824	0.0052	-0.1335
0.585	-0.0019	0.2957	0.013	0.2945	0.0021	-0.0513	-0.0027	0.3508	0.0161	0.5776	0.0064	-0.1503
0.59	-0.0024	0.3258	0.0153	0.2933	0.0025	-0.0564	-0.0035	0.3866	0.0189	0.5728	0.0075	-0.165
0.595	-0.003	0.3519	0.0174	0.2922	0.0028	-0.0607	-0.0044	0.4178	0.0215	0.5683	0.0084	-0.1777
0.6	-0.0035	0.3738	0.0191	0.2912	0.0031	-0.0644	-0.0052	0.444	0.0236	0.5643	0.0092	-0.1882
0.605	-0.004	0.3912	0.0205	0.2904	0.0033	-0.0672	-0.0058	0.4649	0.0254	0.5609	0.0098	-0.1965
0.61	-0.0043	0.404	0.0216	0.2897	0.0034	-0.0693	-0.0063	0.4803	0.0267	0.5583	0.0102	-0.2025
0.615	-0.0045	0.412	0.0222	0.2893	0.0035	-0.0706	-0.0067	0.4901	0.0275	0.5567	0.0105	-0.2063
0.62	-0.0046	0.4153	0.0224	0.2892	0.0036	-0.0711	-0.0068	0.4942	0.0279	0.556	0.0106	-0.2079
0.625	-0.0046	0.4138	0.0223	0.2893	0.0035	-0.0708	-0.0068	0.4925	0.0277	0.5563	0.0105	-0.2072
0.63	-0.0044	0.4076	0.0217	0.2896	0.0034	-0.0698	-0.0065	0.4851	0.027	0.5576	0.0103	-0.2043
0.635	-0.0041	0.3968	0.0208	0.2901	0.0033	-0.068	-0.006	0.4722	0.0258	0.5598	0.0099	-0.1992
0.64	-0.0037	0.3815	0.0195	0.2908	0.0031	-0.0655	-0.0054	0.454	0.0242	0.5628	0.0094	-0.1919
0.645	-0.0032	0.362	0.0179	0.2917	0.0029	-0.0623	-0.0047	0.4306	0.0221	0.5664	0.0087	-0.1826
0.65	-0.0026	0.3385	0.016	0.2928	0.0026	-0.0584	-0.0039	0.4025	0.0198	0.5706	0.0078	-0.1712
0.655	-0.0021	0.3113	0.0138	0.2939	0.0022	-0.0538	-0.003	0.3699	0.0171	0.5751	0.0068	-0.1579
0.66	-0.0015	0.2806	0.0114	0.295	0.0019	-0.0486	-0.0022	0.3334	0.0142	0.5798	0.0057	-0.1429
0.665	-0.001	0.2469	0.0088	0.2961	0.0014	-0.0429	-0.0015	0.2933	0.011	0.5843	0.0044	-0.1261
0.67	-0.0006	0.2105	0.0061	0.2972	0.001	-0.0366	-0.0009	0.2501	0.0078	0.5886	0.0031	-0.1078
0.675	-0.0002	0.1718	0.0032	0.2981	0.0005	-0.0299	-0.0004	0.2043	0.0043	0.5924	0.0017	-0.0883
0.68	0	0.1313	0.0003	0.2989	-0	-0.0228	0	0.1564	0.0008	0.5955	0.0002	-0.0676
0.685	0.0002	0.0893	-0.0028	0.2995	-0.0006	-0.0155	0.0002	0.1068	-0.0028	0.5979	-0.0014	-0.0461
0.69	0.0002	0.0462	-0.0059	0.2999	-0.0011	-0.0079	0.0002	0.0561	-0.0064	0.5994	-0.003	-0.0239
0.695	0	0.0026	-0.009	0.3	-0.0017	-0.0002	0	0.0048	-0.0101	0.6	-0.0046	-0.0014
