rowLabel,gravity,mid_wrench,tip_wrench,seg1_s01,seg1_s02,seg1_s03,seg1_s04,seg1_s05,seg1_s06,seg1_s07,seg2_s01,seg2_s02,seg2_s03,seg2_s04,seg2_s05,seg2_s06,seg2_s07
EulX_s397,0,0.0211,-0.045,-0,0.0005,0.0107,0.0458,0.1009,0.1491,0.1629,0.1629,0.168,0.1842,0.1962,0.1948,0.1871,0.1845
EulY_s397,0,-0.0309,-0.0299,0,-0.0276,-0.1287,-0.2571,-0.3648,-0.4279,-0.4428,-0.4428,-0.4481,-0.4631,-0.4726,-0.4718,-0.4676,-0.4662
EulZ_s397,0,0.0469,0.026,-0,0.0347,0.1679,0.3587,0.5486,0.6795,0.7133,0.7133,0.7331,0.8075,0.9057,0.9906,1.0412,1.0532
Px_s397,-3.6823,0.1948,0.0407,0,0.0094,0.0458,0.0967,0.1427,0.1704,0.1769,0.1769,0.1833,0.2069,0.2383,0.2662,0.2835,0.2877
Py_s397,-6.4136,0.1578,0.2667,0,0.0002,0.0039,0.0176,0.04,0.0596,0.065,0.065,0.0707,0.0938,0.1308,0.1709,0.1999,0.2075
Pz_s397,6.4453,-0.1648,0.1311,0,0.0001,0.003,0.0134,0.0299,0.0441,0.048,0.048,0.052,0.068,0.0913,0.1139,0.1284,0.132
EulX_s398,0,0.0317,-0.0524,-0,-0,-0.0008,-0.0036,-0.0085,-0.013,-0.0143,-0.0143,-0.0143,-0.0139,-0.0131,-0.0121,-0.0113,-0.0111
EulY_s398,0,0.0453,-0.0133,0,0.0064,0.0337,0.0798,0.133,0.1732,0.184,0.184,0.1836,0.1799,0.1703,0.1578,0.1487,0.1464
EulZ_s398,0,0.0234,0.026,-0,0.0093,0.0418,0.0782,0.1036,0.1158,0.1183,0.1183,0.1126,0.0937,0.0779,0.0787,0.0904,0.095
Px_s398,6.4354,-0.1992,-0.1509,0,0.0094,0.0461,0.0998,0.1531,0.1892,0.1984,0.1984,0.2075,0.2435,0.2964,0.3493,0.3855,0.3948
Py_s398,6.8171,0.1655,-0.2588,0,0,0.001,0.0043,0.0092,0.0132,0.0142,0.0142,0.0153,0.019,0.0234,0.0274,0.0304,0.0313
Pz_s398,-2.8896,0.1514,0.0166,0,-0,-0.0008,-0.0038,-0.0095,-0.0151,-0.0167,-0.0167,-0.0185,-0.0251,-0.0346,-0.0434,-0.049,-0.0504
EulX_s399,0,-0.0442,0.0496,-0,-0,-0.0002,-0.0012,-0.0037,-0.007,-0.0081,-0.0081,-0.0086,-0.0111,-0.0156,-0.0194,-0.0202,-0.02
EulY_s399,0,0.0403,0.008,0,0.0116,0.0607,0.1426,0.2365,0.3074,0.3264,0.3264,0.3337,0.36,0.3894,0.4059,0.4085,0.408
EulZ_s399,0,-0.0044,0.0329,-0,0.0013,0.0068,0.0181,0.0358,0.0534,0.0587,0.0587,0.069,0.1111,0.1773,0.2489,0.3006,0.3141
Px_s399,7.1935,0.2532,-0.256,0,0.0094,0.0461,0.0997,0.1525,0.1879,0.1968,0.1968,0.2057,0.2401,0.2897,0.3382,0.3707,0.3789
Py_s399,6.2979,-0.112,-0.1431,0,0,0.0002,0.0008,0.0022,0.0038,0.0043,0.0043,0.0048,0.008,0.0155,0.0265,0.0361,0.0389
